x,y,z,e
f1000(u32),f1000(u32),f1000(u32),f1000(s64)
131.251,54.761,0.250,13.715
130.964,55.601,0.250,13.749
130.471,56.771,0.250,13.797
130.468,56.812,0.250,13.799
130.085,57.016,0.250,13.799
130.143,57.223,0.250,13.807
130.221,57.363,0.250,13.813
130.351,57.519,0.250,13.821
130.606,57.684,0.250,13.832
133.317,59.018,0.250,13.947
133.760,59.333,0.250,13.968
134.179,59.704,0.250,13.989
134.699,60.331,0.250,14.020
135.105,61.046,0.250,14.052
135.311,61.574,0.250,14.073
135.978,64.421,0.250,14.185
136.088,64.719,0.250,14.197
136.265,64.930,0.250,14.207
136.462,65.054,0.250,14.216
136.720,65.120,0.250,14.226
136.966,65.112,0.250,14.236
138.170,64.893,0.250,14.282
138.982,64.810,0.250,14.313
139.403,64.843,0.250,14.329
140.064,65.054,0.250,14.356
140.448,65.288,0.250,14.373
140.803,65.608,0.250,14.391
141.125,66.057,0.250,14.412
141.336,66.557,0.250,14.433
142.030,69.599,0.250,14.552
142.020,70.372,0.250,14.581
141.847,70.950,0.250,14.604
141.514,71.496,0.250,14.628
140.976,71.990,0.250,14.656
139.920,72.435,0.250,14.700
138.706,72.770,0.250,14.748
138.496,72.865,0.250,14.757
138.310,73.010,0.250,14.766
138.139,73.298,0.250,14.778
138.093,73.519,0.250,14.787
138.123,73.821,0.250,14.798
138.767,76.746,0.250,14.912
138.796,77.580,0.250,14.944
138.683,78.385,0.250,14.975
138.574,78.773,0.250,14.991
138.434,79.151,0.250,15.006
138.034,79.896,0.250,15.038
136.208,82.217,0.250,15.151
136.101,82.376,0.250,15.158
136.015,82.584,0.250,15.166
135.989,82.813,0.250,15.175
136.020,83.015,0.250,15.183
136.127,83.248,0.250,15.193
136.203,83.345,0.250,15.197
137.193,84.220,0.250,15.248
137.740,84.772,0.250,15.277
138.036,85.209,0.250,15.297
138.219,85.659,0.250,15.316
138.311,86.189,0.250,15.336
138.286,86.730,0.250,15.357
138.148,87.234,0.250,15.377
137.875,87.743,0.250,15.399
135.927,90.187,0.250,15.518
135.128,90.754,0.250,15.555
134.615,90.914,0.250,15.576
134.068,90.960,0.250,15.597
133.285,90.805,0.250,15.627
132.370,90.281,0.250,15.667
131.378,89.560,0.250,15.714
131.163,89.450,0.250,15.723
130.921,89.401,0.250,15.732
130.648,89.432,0.250,15.743
130.419,89.545,0.250,15.753
130.279,89.664,0.250,15.760
128.297,92.098,0.250,15.879
127.678,92.627,0.250,15.910
126.976,93.042,0.250,15.941
126.605,93.199,0.250,15.957
126.221,93.325,0.250,15.972
125.388,93.477,0.250,16.004
122.431,93.497,0.250,16.117
122.140,93.533,0.250,16.128
121.918,93.635,0.250,16.137
121.672,93.874,0.250,16.150
121.562,94.138,0.250,16.161
121.538,94.294,0.250,16.167
121.483,95.528,0.250,16.214
121.415,96.157,0.250,16.238
121.246,96.768,0.250,16.262
120.938,97.296,0.250,16.286
120.546,97.700,0.250,16.307
120.038,98.020,0.250,16.330
119.484,98.205,0.250,16.352
119.047,98.248,0.250,16.369
116.068,98.246,0.250,16.482
115.540,98.154,0.250,16.503
115.018,97.935,0.250,16.524
114.618,97.652,0.250,16.543
114.274,97.284,0.250,16.562
113.934,96.668,0.250,16.589
113.820,96.253,0.250,16.605
113.739,95.549,0.250,16.632
113.664,94.160,0.250,16.685
113.573,93.917,0.250,16.695
113.389,93.701,0.250,16.706
113.118,93.541,0.250,16.718
112.790,93.497,0.250,16.731
109.798,93.474,0.250,16.845
109.000,93.325,0.250,16.876
108.617,93.200,0.250,16.891
108.246,93.043,0.250,16.906
107.515,92.607,0.250,16.939
106.886,92.059,0.250,16.970
105.029,89.762,0.250,17.083
104.892,89.615,0.250,17.091
104.618,89.449,0.250,17.103
104.345,89.397,0.250,17.113
104.051,89.452,0.250,17.125
103.835,89.565,0.250,17.134
102.812,90.307,0.250,17.182
101.974,90.791,0.250,17.219
101.338,90.946,0.250,17.244
100.774,90.942,0.250,17.265
100.155,90.779,0.250,17.290
99.352,90.246,0.250,17.326
97.347,87.745,0.250,17.448
97.084,87.262,0.250,17.469
96.932,86.715,0.250,17.491
96.908,86.218,0.250,17.510
96.982,85.730,0.250,17.529
97.250,85.090,0.250,17.555
97.503,84.745,0.250,17.572
98.002,84.243,0.250,17.598
98.949,83.416,0.250,17.646
99.164,83.131,0.250,17.660
99.232,82.812,0.250,17.672
99.188,82.510,0.250,17.684
99.015,82.221,0.250,17.697
97.179,79.887,0.250,17.810
96.975,79.542,0.250,17.825
96.799,79.179,0.250,17.840
96.528,78.339,0.250,17.874
96.423,77.541,0.250,17.905
96.455,76.741,0.250,17.935
97.097,73.825,0.250,18.049
97.126,73.629,0.250,18.056
97.093,73.324,0.250,18.068
96.962,73.073,0.250,18.079
96.890,72.990,0.250,18.083
96.724,72.864,0.250,18.091
96.507,72.768,0.250,18.100
95.318,72.440,0.250,18.147
94.353,72.056,0.250,18.187
93.744,71.541,0.250,18.217
93.439,71.085,0.250,18.238
93.231,70.529,0.250,18.260
93.189,69.606,0.250,18.296
93.885,66.557,0.250,18.415
94.079,66.087,0.250,18.434
94.405,65.623,0.250,18.456
94.757,65.299,0.250,18.474
95.167,65.048,0.250,18.492
95.950,64.822,0.250,18.523
96.330,64.812,0.250,18.538
97.031,64.890,0.250,18.565
98.400,65.125,0.250,18.617
98.694,65.078,0.250,18.629
98.912,64.962,0.250,18.638
99.128,64.730,0.250,18.650
